price,unit_price,bedroom,hall,chicken,washroom,floor,building_size,house_structu	re,building_type,building_structure,fitment,pro_limit,pro_owner,pledge,replacement,heating,transaction_owner,house_use
1520000.0,19488,2,1,1,1,0,78,0,2,0,1,70,0,0,1,0,0,0
2200000.0,14865,3,2,1,2,2,148,0,0,0,1,70,1,0,1,0,0,0
1630000.0,17630,2,2,1,1,2,92.46,0,0,0,1,50,1,1,0,0,0,0
2100000.0,16536,3,2,1,2,2,127,0,2,0,1,50,0,0,0,0,0,0
1480000.0,12033,3,2,2,2,1,123,1,0,4,1,70,1,0,1,0,0,0
1450000.0,11758,3,2,1,2,1,123.33,0,0,0,1,70,1,0,1,0,0,0
1680000.0,12864,3,2,1,2,2,130.6,0,0,0,1,70,0,1,1,0,0,0
1500000.0,11566,3,2,1,2,2,129.7,0,0,0,1,50,1,0,0,0,0,0
1110000.0,9430,3,1,1,1,2,117.72,0,0,0,0,50,0,0,1,0,0,0
1500000.0,15307,3,2,1,2,1,98,0,0,0,1,70,0,1,1,0,0,0
1050000.0,11539,2,2,1,1,1,91,0,0,0,0,50,0,0,1,0,0,0
1370000.0,16329,2,2,1,1,1,83.9,0,0,0,1,70,1,1,0,0,0,0
900000.0,10113,2,1,1,1,0,89,0,0,0,2,70,1,1,1,0,0,0
850000.0,9688,2,1,1,1,1,87.74,0,0,0,0,70,1,1,1,0,0,0
850000.0,10898,2,1,1,1,1,78,0,0,0,1,50,0,0,1,0,0,0
400000.0,9524,1,1,1,1,2,42,0,0,4,0,70,1,0,1,0,0,0
830000.0,10587,2,1,1,1,0,78.4,0,0,0,2,70,1,1,1,0,0,0
830000.0,8534,2,1,1,1,2,97.26,0,0,4,2,50,0,0,1,0,0,0
1200000.0,14984,2,1,1,1,2,80.09,0,0,0,1,50,1,0,1,0,0,0
1000000.0,10870,2,2,1,1,0,92,0,0,0,1,50,1,0,1,0,0,0
870000.0,8970,2,2,1,1,1,97,0,0,4,1,70,1,1,1,0,0,0
590000.0,7180,2,1,1,1,1,82.18,0,0,0,1,70,1,0,1,0,0,0
800000.0,13401,2,1,1,1,0,59.7,0,0,4,1,50,0,0,1,0,0,0
710000.0,9193,2,2,1,1,0,77.24,0,0,0,1,70,0,0,0,0,0,0
635000.0,8142,2,1,1,1,2,78,0,0,0,1,50,1,1,1,0,0,0
1630000.0,13133,3,2,1,2,2,124.12,0,0,0,1,50,1,1,0,0,0,0
1260000.0,12186,2,1,1,1,2,103.4,0,0,4,0,70,1,0,1,0,0,0
645000.0,10701,1,1,1,1,0,60.28,0,0,0,0,50,1,1,0,0,0,0
660000.0,9581,2,1,1,1,2,68.89,0,0,0,1,70,1,0,0,0,0,0
680000.0,9005,2,1,1,1,1,75.52,0,0,0,1,70,0,0,0,0,0,0
360000.0,8857,1,1,1,1,2,40.65,0,1,0,0,70,1,0,1,0,0,0
750000.0,9461,2,1,1,1,2,79.28,0,0,0,1,70,0,0,1,1,0,0
775000.0,9936,2,1,1,1,1,78,0,1,0,1,70,1,0,1,0,0,0
1990000.0,15799,3,2,1,2,0,125.96,0,0,0,0,50,0,0,0,0,0,0
1100000.0,10857,3,2,1,1,1,101.32,0,0,0,2,50,0,1,1,0,0,0
480000.0,6356,2,2,1,1,1,75.53,0,0,0,0,50,1,0,1,0,0,0
510000.0,9752,1,1,1,1,0,52.3,0,0,0,1,70,0,1,0,0,0,0
1650000.0,8730,4,2,1,2,2,189.02,0,0,0,1,70,0,0,1,0,0,0
1060000.0,13152,3,2,1,1,2,80.6,0,0,0,2,70,1,0,1,0,0,0
1550000.0,15980,3,2,1,1,0,97,0,0,0,1,70,1,1,1,0,0,0
490000.0,7724,2,1,1,1,2,63.44,0,0,0,2,70,1,0,0,0,0,0
1530000.0,15480,2,2,1,1,0,98.84,0,0,0,1,70,1,1,0,0,0,0
1050000.0,12327,2,2,1,1,1,85.18,0,0,0,1,50,0,0,0,0,0,0
900000.0,8152,3,2,1,2,1,110.41,0,0,0,1,70,1,1,1,0,0,0
450000.0,6309,2,1,1,1,1,71.33,0,0,0,0,70,1,0,0,0,0,0
820000.0,9762,2,2,1,1,2,84,0,0,0,1,50,1,0,1,0,0,0
1450000.0,12511,3,2,1,2,0,115.9,0,0,0,2,50,1,1,1,0,0,0
1730000.0,18319,2,2,1,1,1,94.44,0,0,0,1,50,1,0,0,0,0,0
1650000.0,17007,3,2,1,1,1,97.02,0,0,0,1,70,0,1,1,0,0,0
1300000.0,9966,3,2,1,2,1,130.45,1,2,4,1,70,1,0,0,0,0,0
1680000.0,13506,3,2,1,2,2,124.39,0,0,0,2,70,0,1,1,0,0,0
1450000.0,16008,2,2,1,1,0,90.58,0,0,0,2,70,0,0,1,0,0,0
1150000.0,14097,2,2,1,1,0,81.58,0,0,0,0,50,1,0,1,0,0,0
1280000.0,10000,3,2,1,2,0,128,0,2,0,2,50,0,0,1,0,0,0
1350000.0,12521,2,2,1,1,1,107.82,0,0,4,1,50,1,0,0,0,0,0
1550000.0,18563,2,1,1,1,2,83.5,0,0,0,1,70,1,1,0,0,1,0
